sep=;
Version CSV1|Tool SBFspot3.1.2 (Linux)|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100537803;SN: 2100537803
;SB 4000TL-20;SB 4000TL-20
;2100537803;2100537803
;Total yield;Power
;Counter;Analog
dd/MM/yyyy HH:mm:ss;kWh;kW
01/01/2016 14:15:00;16005,369;0,264
01/01/2016 14:20:00;16005,399;0,360
01/01/2016 14:25:00;16005,424;0,300
01/01/2016 14:30:00;16005,437;0,156
01/01/2016 14:35:00;16005,447;0,120
01/01/2016 14:40:00;16005,455;0,096
01/01/2016 14:45:00;16005,465;0,120
01/01/2016 14:50:00;16005,479;0,168
01/01/2016 14:55:00;16005,495;0,192
01/01/2016 15:00:00;16005,516;0,252
01/01/2016 15:05:00;16005,537;0,252
01/01/2016 15:10:00;16005,557;0,240
01/01/2016 15:15:00;16005,577;0,240
01/01/2016 15:20:00;16005,591;0,168
01/01/2016 15:25:00;16005,606;0,180
01/01/2016 15:30:00;16005,616;0,120
01/01/2016 15:35:00;16005,624;0,096
01/01/2016 15:40:00;16005,634;0,120
01/01/2016 15:45:00;16005,645;0,132
01/01/2016 15:50:00;16005,656;0,132
01/01/2016 15:55:00;16005,662;0,072
01/01/2016 16:00:00;16005,665;0,036
01/01/2016 16:05:00;16005,669;0,048
01/01/2016 16:10:00;16005,671;0,024
01/01/2016 16:15:00;16005,673;0,024
01/01/2016 16:20:00;16005,674;0,012
01/01/2016 16:25:00;16005,674;0,000
01/01/2016 16:30:00;16005,674;0,000
01/01/2016 16:35:00;16005,674;0,000
01/01/2016 16:40:00;16005,674;0,000
01/01/2016 16:45:00;16005,674;0,000
01/01/2016 16:50:00;16005,674;0,000
01/01/2016 16:55:00;16005,674;0,000
01/01/2016 17:00:00;16005,674;0,000
01/01/2016 17:05:00;16005,674;0,000
01/01/2016 17:10:00;16005,674;0,000
01/01/2016 17:15:00;16005,674;0,000
01/01/2016 17:20:00;16005,674;0,000
01/01/2016 17:25:00;16005,674;0,000
01/01/2016 17:30:00;16005,674;0,000
01/01/2016 17:35:00;16005,674;0,000
01/01/2016 17:40:00;16005,674;0,000
01/01/2016 17:45:00;16005,674;0,000
01/01/2016 17:50:00;16005,674;0,000
01/01/2016 17:55:00;16005,674;0,000
01/01/2016 18:00:00;16005,674;0,000
01/01/2016 18:05:00;16005,674;0,000
01/01/2016 18:10:00;16005,674;0,000
01/01/2016 18:15:00;16005,674;0,000
01/01/2016 18:20:00;16005,674;0,000
01/01/2016 18:25:00;16005,674;0,000
01/01/2016 18:30:00;16005,674;0,000
01/01/2016 18:35:00;16005,674;0,000
01/01/2016 18:40:00;16005,674;0,000
01/01/2016 18:45:00;16005,674;0,000
01/01/2016 18:50:00;16005,674;0,000
01/01/2016 18:55:00;16005,674;0,000
01/01/2016 19:00:00;16005,674;0,000
01/01/2016 19:05:00;16005,674;0,000
01/01/2016 19:10:00;16005,674;0,000
01/01/2016 19:15:00;16005,674;0,000
01/01/2016 19:20:00;16005,674;0,000
01/01/2016 19:25:00;16005,674;0,000
01/01/2016 19:30:00;16005,674;0,000
01/01/2016 19:35:00;16005,674;0,000
01/01/2016 19:40:00;16005,674;0,000
01/01/2016 19:45:00;16005,674;0,000
01/01/2016 19:50:00;16005,674;0,000
01/01/2016 19:55:00;16005,674;0,000
01/01/2016 20:00:00;16005,674;0,000
01/01/2016 20:05:00;16005,674;0,000
01/01/2016 20:10:00;16005,674;0,000
01/01/2016 20:15:00;16005,674;0,000
01/01/2016 20:20:00;16005,674;0,000
01/01/2016 20:25:00;16005,674;0,000
01/01/2016 20:30:00;16005,674;0,000
01/01/2016 20:35:00;16005,674;0,000
01/01/2016 20:40:00;16005,674;0,000
01/01/2016 20:45:00;16005,674;0,000
01/01/2016 20:50:00;16005,674;0,000
01/01/2016 20:55:00;16005,674;0,000
01/01/2016 21:00:00;16005,674;0,000
01/01/2016 21:05:00;16005,674;0,000
01/01/2016 21:10:00;16005,674;0,000
01/01/2016 21:15:00;16005,674;0,000
01/01/2016 21:20:00;16005,674;0,000
01/01/2016 21:25:00;16005,674;0,000
01/01/2016 21:30:00;16005,674;0,000
01/01/2016 21:35:00;16005,674;0,000
01/01/2016 21:40:00;16005,674;0,000
01/01/2016 21:45:00;16005,674;0,000
01/01/2016 21:50:00;16005,674;0,000
01/01/2016 21:55:00;16005,674;0,000
01/01/2016 22:00:00;16005,674;0,000
01/01/2016 22:05:00;16005,674;0,000
01/01/2016 22:10:00;16005,674;0,000
01/01/2016 22:15:00;16005,674;0,000
01/01/2016 22:20:00;16005,674;0,000
01/01/2016 22:25:00;16005,674;0,000
01/01/2016 22:30:00;16005,674;0,000
01/01/2016 22:35:00;16005,674;0,000
01/01/2016 22:40:00;16005,674;0,000
01/01/2016 22:45:00;16005,674;0,000
01/01/2016 22:50:00;16005,674;0,000
01/01/2016 22:55:00;16005,674;0,000
01/01/2016 23:00:00;16005,674;0,000
01/01/2016 23:05:00;16005,674;0,000
01/01/2016 23:10:00;16005,674;0,000
01/01/2016 23:15:00;16005,674;0,000
01/01/2016 23:20:00;16005,674;0,000
01/01/2016 23:25:00;16005,674;0,000
01/01/2016 23:30:00;16005,674;0,000
01/01/2016 23:35:00;16005,674;0,000
01/01/2016 23:40:00;16005,674;0,000
01/01/2016 23:45:00;16005,674;0,000
01/01/2016 23:50:00;16005,674;0,000
01/01/2016 23:55:00;16005,674;0,000
